price,X,Y,bedrooms,bathrooms,sqft_lot,grade,sqft_living15,sqft_lot15
221900,-122.257,47.5112,3,1,5650,7,1340,5650
538000,-122.319,47.721,3,2.25,7242,7,1690,7639
180000,-122.233,47.7379,2,1,10000,6,2720,8062
604000,-122.393,47.5208,4,3,5000,7,1360,5000
510000,-122.045,47.6168,3,2,8080,8,1800,7503
1230000,-122.005,47.6561,4,4.5,101930,11,4760,101930
257500,-122.327,47.3097,3,2.25,6819,7,2238,6819
291850,-122.315,47.4095,3,1.5,9711,7,1650,9711
229500,-122.337,47.5123,3,1,7470,7,1780,8113
323000,-122.031,47.3684,3,2.5,6560,7,2390,7570
662500,-122.145,47.6007,3,2.5,9796,8,2210,8925
468000,-122.292,47.69,2,1,6000,7,1330,6000
310000,-122.229,47.7558,3,1,19901,7,1780,12697
400000,-122.045,47.6127,3,1.75,9680,7,1370,10208
530000,-122.394,47.67,5,2,4850,7,1360,4850
650000,-122.375,47.5714,4,3,5000,9,2140,4000
395000,-121.962,47.7277,3,2,14040,7,1890,14018
485000,-122.343,47.6648,4,1,4300,7,1610,4300
189000,-122.21,47.3089,2,1,9850,7,1060,5095
230000,-122.306,47.3343,3,1,9774,7,1280,8850
385000,-122.341,47.7025,4,1.75,4980,7,1400,4980
2000000,-122.233,47.5316,3,2.75,44867,9,4110,20336
285000,-122.169,47.3266,5,2.5,6300,8,2240,7005
252700,-122.166,47.3533,2,1.5,9643,7,1220,8386
329000,-122.172,47.3739,3,2.25,6500,8,2200,6865
233000,-122.218,47.3048,3,2,4697,6,1030,4705
937000,-122.36,47.6386,3,1.75,2691,8,1760,3573
667000,-122.314,47.6221,3,1,1581,8,1860,3861
438000,-122.304,47.695,3,1.75,6380,7,1520,6235
719000,-122.11,47.7073,4,2.5,7173,8,2630,6026
580500,-122.07,47.5391,3,2.5,3980,8,2580,3980
280000,-122.357,47.7274,2,1.5,1265,7,1390,1756
687500,-122.368,47.6823,4,1.75,5000,7,1460,5000
535000,-122.375,47.6889,3,1,3000,8,1570,5080
322500,-122.157,47.4276,4,2.75,6659,7,2020,8720
696000,-122.31,47.6827,3,2.5,3060,8,1590,3264
550000,-122.132,47.6621,4,1,34848,5,2160,11467
640000,-122.362,47.6702,4,2,6000,8,1730,4700
240000,-122.282,47.3341,4,1,8075,7,1290,7800
605000,-122.18,47.5301,4,2.5,7553,8,2620,11884
625000,-122.027,47.6145,4,2.5,5520,9,2470,5669
775000,-122.347,47.445,4,2.25,24186,8,2410,30617
861990,-122.016,47.6848,5,2.75,5639,9,3625,5639
685000,-122.364,47.6413,3,1,2280,7,1580,2640
309000,-122.175,47.4485,3,1,9656,6,1340,8808
488000,-121.977,47.7443,3,2.5,13603,8,3050,9232
210490,-122.371,47.3066,3,1,8528,6,1228,8840
785000,-122.151,47.6194,4,2.5,13416,9,2680,13685
450000,-122.301,47.6796,3,1.75,5963,7,970,5100
1350000,-122.451,47.4041,3,2.5,65005,9,2680,72513
228000,-122.322,47.4258,3,1,9199,7,1190,9364
345000,-122.189,47.4934,5,2.5,9134,8,1990,9133
600000,-122.384,47.6808,3,1.75,4080,7,1410,4080
585000,-122.369,47.6989,2,1.75,8550,7,1480,6738
920000,-122.281,47.6571,5,2.25,6000,8,2730,6000
885000,-122.29,47.6597,4,2.5,5000,9,1950,5000
292500,-122.114,47.3663,4,2.5,4495,7,2250,4500
301000,-122.122,47.3663,3,2.5,4750,8,2690,4750
951000,-122.116,47.588,5,3.25,14342,8,2960,11044
430000,-122.149,47.5059,4,3,9976,8,2270,8542
650000,-122.339,47.4336,3,2.25,21235,8,2570,18900
289000,-122.335,47.4366,3,1.75,8400,7,1290,8750
505000,-122.344,47.4428,3,1.75,8690,8,2500,9500
549000,-122.32,47.6765,3,1.75,1044,8,1580,3090
425000,-122.297,47.6113,3,2.25,6000,7,1440,4080
317625,-122.304,47.5747,3,2.75,3809,7,1440,4000
975000,-122.192,47.5815,4,2.5,11049,10,2750,11049
287000,-122.257,47.3378,4,2.5,4648,7,2221,4557
204000,-122.11,47.3621,3,1,12070,7,1010,12635
1330000,-122.215,47.6303,5,2.25,20158,8,3390,20158
1040000,-122.16,47.6525,5,3.25,50094,11,3530,38917
325000,-122.179,47.7362,3,2,5612,7,1640,4745
571000,-122.287,47.7168,4,2,7807,7,1510,7807
360000,-122.036,47.3608,4,2.5,5000,8,2420,5000
349000,-122.073,47.3511,3,1.75,50529,7,1940,50529
832500,-121.987,47.5822,4,4,35102,10,3240,35020
380000,-122.125,47.6034,4,1.75,7300,7,1680,7500
480000,-122.394,47.5636,3,1,5060,7,890,5060
410000,-122.34,47.7073,3,1,5060,7,1130,5693
720000,-122.025,47.342,4,2.5,39683,10,3350,39750
390000,-122.008,47.3512,3,2.5,5100,8,2350,5363
360000,-122.031,47.349,4,2.5,5889,7,1870,6405
355000,-122.291,47.5474,2,1,6720,7,1720,6720
356000,-122.149,47.4811,3,1.5,8712,8,1850,8797
315000,-122.31,47.7264,3,1,6634,6,1570,7203
940000,-122.365,47.6337,3,1.5,3600,9,2020,4800
305000,-122.189,47.2909,5,2.25,8400,7,1590,8165
461000,-122.199,47.5228,3,3.25,6278,9,1900,7349
215000,-122.194,47.518,2,2.25,2040,7,1950,2025
335000,-122.387,47.5394,2,1.75,1066,7,1030,1106
